,trigger_num,trigger_start,trigger_end,event_start,event_end,event_type,event_duration,gaze_loc_x,gaze_loc_y,face,objects,bad_trial,video_frame
43,1,3230770.22,3240770.22,3238124.58,3238174.51,Saccade,49.92999999970198,751.16,44.77,,,False,1634
44,1,3230770.22,3240770.22,3238191.2,3238291.07,Visual Intake,99.8699999996461,830.04,212.98,False,"person,monitor,face,",False,1636
45,1,3230770.22,3240770.22,3238307.72,3238424.08,Saccade,116.35999999986961,840.87,199.71,,,False,1639
46,1,3230770.22,3240770.22,3238440.85,3238573.91,Visual Intake,133.06000000005588,754.31,61.22,True,"person,monitor,face,",False,1642
47,1,3230770.22,3240770.22,3238590.53,3238623.89,Saccade,33.360000000335276,747.76,64.26,,,False,1645
48,1,3230770.22,3240770.22,3238640.53,3238973.3,Visual Intake,332.7700000000186,766.52,37.12,True,"person,monitor,face,",False,1647
49,1,3230770.22,3240770.22,3238989.89,3239023.25,Saccade,33.359999999869615,750.97,66.99,,,False,1656
50,1,3230770.22,3240770.22,3239039.85,3239306.1,Visual Intake,266.25,706.21,85.23,True,"person,monitor,face,",False,1657
51,1,3230770.22,3240770.22,3239322.75,3239622.2,Saccade,299.45000000018626,767.52,64.49,,,False,1663
52,1,3230770.22,3240770.22,3239638.93,3239821.98,Visual Intake,183.04999999981374,504.8,477.16,False,"person,monitor,face,",False,1671
53,1,3230770.22,3240770.22,3239838.56,3240005.01,Blink,166.4499999997206,559.01,468.57,,,False,1675
54,1,3230770.22,3240770.22,3240021.59,3240254.51,Visual Intake,232.9199999999255,863.81,95.0,True,"person,monitor,face,",False,1680
55,1,3230770.22,3240770.22,3240271.26,3240304.53,Saccade,33.27000000001863,802.97,63.98,,,False,1686
56,1,3230770.22,3240770.22,3240321.16,3240637.26,Visual Intake,316.09999999962747,832.28,53.17,True,"person,monitor,face,",False,1687
57,1,3230770.22,3240770.22,3240653.97,3240787.08,Saccade,133.10999999986961,816.83,52.66,,,True,1695
58,2,3240770.22,3250770.22,3240803.73,3240787.08,Visual Intake,-16.649999999906868,780.28,58.01,True,"person,monitor,face,",True,1699
